
===== phase2 lag-h ACI :: 2026-08-18 00:30:18 =====
frozen wrapper results/misc/conformal_config.json  digest ok  gamma=0.05  alpha_1=0.1
  lambda_h = {'3': 0.1945, '5': 0.1809, '10': 0.4144, '15': 0.4584}
  calibrated on ['dengue', 'influenza_japan', 'influenza_us-regions', 'influenza_us-states', 'covid_us-states']


arm                              h   T       n |  raw cov     +lam     +ACI  +ACIlag  upd |      raw w     +lam w     +ACI w     +lag w   inf%
ebola_L12 few-shot s72          15  18     642 |    0.181    0.551    0.794    0.561    3 |        4.4        8.4       31.9        8.6    0.0
ebola_L12 zero-shot s72          3  18     757 |    0.458    0.845    0.868    0.865   15 |       20.6       28.6       34.4       33.4    0.0
ebola_L12 zero-shot s72          5  18     766 |    0.407    0.756    0.866    0.855   13 |       19.3       26.3       35.4       38.8    0.0
ebola_L12 zero-shot s72         10  18     765 |    0.366    0.893    0.902    0.897    8 |       20.3       37.2       41.2       39.9    0.0
ebola_L12 zero-shot s72         15  18     642 |    0.338    0.907    0.911    0.907    3 |       19.9       38.1       39.2       38.2    0.0
ebola_L12 few-shot s82           3  18     757 |    0.569    0.880    0.892    0.890   15 |       30.3       42.0       47.0       47.4    0.0
ebola_L12 few-shot s82           5  18     766 |    0.414    0.795    0.839    0.830   13 |       22.4       30.4       55.7       53.8    0.0
ebola_L12 few-shot s82          10  18     765 |    0.607    0.969    0.966    0.969    8 |       64.5      117.9       98.4      114.1    0.0
ebola_L12 few-shot s82          15  18     642 |    0.388    0.763    0.829    0.766    3 |        9.2       17.7       31.5       18.0    0.0
ebola_L12 zero-shot s82          3  18     757 |    0.450    0.818    0.861    0.857   15 |       20.5       28.4       38.8       38.0    0.0
ebola_L12 zero-shot s82          5  18     766 |    0.436    0.789    0.866    0.855   13 |       19.3       26.2       37.2       38.8    0.0
ebola_L12 zero-shot s82         10  18     765 |    0.382    0.892    0.905    0.894    8 |       21.1       38.6       44.0       42.7    0.0
ebola_L12 zero-shot s82         15  18     642 |    0.350    0.917    0.916    0.917    3 |       21.2       40.7       40.5       40.8    0.0
ebola_L20 few-shot s42           3  18     757 |    0.873    0.942    0.939    0.939   15 |       91.9      127.6      114.5      116.8    0.0
ebola_L20 few-shot s42           5  18     766 |    0.877    0.946    0.945    0.946   13 |       99.0      134.8      123.0      128.0    0.0
ebola_L20 few-shot s42          10  18     765 |    0.787    0.961    0.956    0.961    8 |      115.5      211.3      176.8      202.1    0.0
ebola_L20 few-shot s42          15  18     642 |    0.956    0.988    0.986    0.988    3 |      137.1      262.9      215.9      261.9    0.0
ebola_L20 zero-shot s42          3  18     757 |    0.608    0.943    0.941    0.942   15 |       39.9       55.5       51.7       52.7    0.0
ebola_L20 zero-shot s42          5  18     766 |    0.469    0.918    0.919    0.922   13 |       37.6       51.2       51.5       53.2    0.0
ebola_L20 zero-shot s42         10  18     765 |    0.437    0.959    0.958    0.959    8 |       52.7       96.3       81.0       92.5    0.0
ebola_L20 zero-shot s42         15  18     642 |    0.383    0.969    0.969    0.969    3 |       62.9      120.5      101.1      120.1    0.0
ebola_L20 few-shot s52           3  18     757 |    0.588    0.868    0.880    0.881   15 |       40.8       56.6       63.2       61.2    0.0
ebola_L20 few-shot s52           5  18     766 |    0.551    0.862    0.869    0.866   13 |       88.7      120.8      149.6      142.5    0.0
ebola_L20 few-shot s52          10  18     765 |    0.575    0.973    0.967    0.973    8 |       67.3      123.2      104.3      118.8    0.0
ebola_L20 few-shot s52          15  18     642 |    0.785    0.975    0.969    0.975    3 |       87.8      168.3      143.2      168.0    0.0
ebola_L20 zero-shot s52          3  18     757 |    0.497    0.921    0.915    0.917   15 |       33.2       46.2       44.4       44.7    0.0
ebola_L20 zero-shot s52          5  18     766 |    0.480    0.927    0.927    0.927   13 |       37.6       51.2       50.3       51.3    0.0
ebola_L20 zero-shot s52         10  18     765 |    0.397    0.957    0.956    0.956    8 |       45.2       82.6       70.7       80.3    0.0
ebola_L20 zero-shot s52         15  18     642 |    0.377    0.972    0.967    0.970    3 |       60.1      115.2       97.3      115.0    0.0
ebola_L20 few-shot s62           3  18     757 |    0.672    0.983    0.966    0.970   15 |      108.3      150.5      127.8      131.5    0.0
ebola_L20 few-shot s62           5  18     766 |    0.550    0.897    0.899    0.903   13 |       83.7      113.9      116.1      116.5    0.0
ebola_L20 few-shot s62          10  18     765 |    0.527    0.987    0.984    0.987    8 |      161.6      295.6      235.0      279.9    0.0
ebola_L20 few-shot s62          15  18     642 |    0.453    0.991    0.989    0.991    3 |      167.1      320.3      256.5      319.0    0.0
ebola_L20 zero-shot s62          3  18     757 |    0.547    0.942    0.931    0.935   15 |       38.5       53.5       49.3       50.3    0.0
ebola_L20 zero-shot s62          5  18     766 |    0.499    0.940    0.918    0.926   13 |       45.0       61.3       58.7       59.9    0.0
ebola_L20 zero-shot s62         10  18     765 |    0.442    0.978    0.967    0.974    8 |       61.1      111.7       90.7      105.5    0.0
ebola_L20 zero-shot s62         15  18     642 |    0.400    0.966    0.963    0.966    3 |       59.5      114.1       97.0      113.8    0.0
ebola_L20 few-shot s72           3  18     757 |    0.629    0.945    0.942    0.942   15 |      111.9      155.4      141.1      144.1    0.0
ebola_L20 few-shot s72           5  18     766 |    0.757    0.877    0.888    0.886   13 |       92.3      125.7      138.1      135.1    0.0
ebola_L20 few-shot s72          10  18     765 |    0.920    0.992    0.992    0.992    8 |      163.6      299.2      236.1      283.1    0.0
ebola_L20 few-shot s72          15  18     642 |    0.480    0.963    0.961    0.963    3 |       82.6      158.4      136.9      158.0    0.0
ebola_L20 zero-shot s72          3  18     757 |    0.530    0.933    0.923    0.926   15 |       36.8       51.1       48.2       48.8    0.0
ebola_L20 zero-shot s72          5  18     766 |    0.454    0.907    0.909    0.911   13 |       37.2       50.6       51.0       51.7    0.0
ebola_L20 zero-shot s72         10  18     765 |    0.395    0.962    0.954    0.962    8 |       44.7       81.7       69.9       79.2    0.0
ebola_L20 zero-shot s72         15  18     642 |    0.347    0.958    0.956    0.958    3 |       46.7       89.6       78.8       89.5    0.0
