frozen wrapper results/misc/conformal_config.json  digest ok  gamma=0.05  alpha_1=0.1
  lambda_h = {'3': 0.1945, '5': 0.1809, '10': 0.4144, '15': 0.4584}
  calibrated on ['dengue', 'influenza_japan', 'influenza_us-regions', 'influenza_us-states', 'covid_us-states']


arm                              h   T       n |  raw cov     +lam     +ACI |      raw w     +lam w     +ACI w   inf%
ebola_L20 few-shot s62           5  18     766 |    0.550    0.897    0.899 |       83.7      113.9      116.1    0.0
ebola_L20 few-shot s62          10  18     765 |    0.527    0.987    0.984 |      161.6      295.6      235.0    0.0
ebola_L20 few-shot s62          15  18     642 |    0.453    0.991    0.989 |      167.1      320.3      256.5    0.0
ebola_L20 zero-shot s62          3  18     757 |    0.547    0.942    0.931 |       38.5       53.5       49.3    0.0
ebola_L20 zero-shot s62          5  18     766 |    0.499    0.940    0.918 |       45.0       61.3       58.7    0.0
ebola_L20 zero-shot s62         10  18     765 |    0.442    0.978    0.967 |       61.1      111.7       90.7    0.0
ebola_L20 zero-shot s62         15  18     642 |    0.400    0.966    0.963 |       59.5      114.1       97.0    0.0
ebola_L20 few-shot s72           3  18     757 |    0.629    0.945    0.942 |      111.9      155.4      141.1    0.0
ebola_L20 few-shot s72           5  18     766 |    0.757    0.877    0.888 |       92.3      125.7      138.1    0.0
ebola_L20 few-shot s72          10  18     765 |    0.920    0.992    0.992 |      163.6      299.2      236.1    0.0
ebola_L20 few-shot s72          15  18     642 |    0.480    0.963    0.961 |       82.6      158.4      136.9    0.0
ebola_L20 zero-shot s72          3  18     757 |    0.530    0.933    0.923 |       36.8       51.1       48.2    0.0
ebola_L20 zero-shot s72          5  18     766 |    0.454    0.907    0.909 |       37.2       50.6       51.0    0.0
ebola_L20 zero-shot s72         10  18     765 |    0.395    0.962    0.954 |       44.7       81.7       69.9    0.0
ebola_L20 zero-shot s72         15  18     642 |    0.347    0.958    0.956 |       46.7       89.6       78.8    0.0
ebola_L20 few-shot s82           3  18     757 |    0.744    0.988    0.987 |      186.5      259.1      214.9    0.0
ebola_L20 few-shot s82           5  18     766 |    0.649    0.914    0.913 |      126.7      172.5      165.9    0.0
ebola_L20 few-shot s82          10  18     765 |    0.651    0.988    0.988 |      189.1      345.8      264.5    0.0
ebola_L20 few-shot s82          15  18     642 |    0.674    0.975    0.975 |       66.3      127.1      106.8    0.0
ebola_L20 zero-shot s82          3  18     757 |    0.523    0.922    0.914 |       36.0       50.0       48.2    0.0
ebola_L20 zero-shot s82          5  18     766 |    0.496    0.916    0.919 |       37.1       50.5       51.6    0.0
ebola_L20 zero-shot s82         10  18     765 |    0.396    0.966    0.958 |       48.7       89.1       75.6    0.0
ebola_L20 zero-shot s82         15  18     642 |    0.369    0.964    0.961 |       50.2       96.1       82.1    0.0

ACI worst case at T=18: 0.167 -- coverage may sit this far from nominal in theory.
NO FINITE-SAMPLE GUARANTEE ON EBOLA: NO finite-sample guarantee on Ebola: lambda_h is fitted on other diseases and TRANSFERRED. The guarantee comes from ACI's online adaptation, not from this initialisation.
